question_id,tp,fn,fp,precision,recall,f1
1971,2,2,3,0.400,0.500,0.444
1971,2,2,3,0.400,0.500,0.444
1971,2,2,3,0.400,0.500,0.444
1996,4,4,1,0.800,0.500,0.615
1996,5,3,0,1.000,0.625,0.769
1996,5,3,0,1.000,0.625,0.769
1997,2,0,3,0.400,1.000,0.571
1997,2,0,3,0.400,1.000,0.571
1997,2,0,3,0.400,1.000,0.571
2017,4,0,1,0.800,1.000,0.889
2017,4,0,1,0.800,1.000,0.889
2017,4,0,1,0.800,1.000,0.889
2028,2,0,3,0.400,1.000,0.571
2028,2,0,3,0.400,1.000,0.571
2028,2,0,3,0.400,1.000,0.571
2061,1,2,4,0.200,0.333,0.250
2061,1,2,4,0.200,0.333,0.250
2061,2,1,3,0.400,0.667,0.500
2066,4,2,1,0.800,0.667,0.727
2066,5,1,0,1.000,0.833,0.909
2066,5,1,0,1.000,0.833,0.909
2119,3,1,2,0.600,0.750,0.667
2119,4,0,1,0.800,1.000,0.889
2119,4,0,1,0.800,1.000,0.889
2235,2,2,3,0.400,0.500,0.444
2235,1,3,4,0.200,0.250,0.222
2235,1,3,4,0.200,0.250,0.222
2237,3,1,2,0.600,0.750,0.667
2237,3,1,2,0.600,0.750,0.667
2237,3,1,2,0.600,0.750,0.667
